id	label
0.0	0.0
219725.0	219725.0
1531680.0	1531680.0
2072376.0	2072376.0
4292313.0	4292313.0
41481402.0	41481402.0
54586900.0	54586900.0
68386676.0	68386676.0
84847011.0	84847011.0
102330791.0	102330791.0
199063609.0	199063609.0
213382465.0	213382465.0
220175484.0	220175484.0
225874324.0	225874324.0
295613605.0	295613605.0
303533570.0	303533570.0
312858740.0	312858740.0
345684699.0	345684699.0
401467155.0	401467155.0
416008071.0	416008071.0
437482369.0	437482369.0
478130878.0	478130878.0
556635935.0	556635935.0
669514448.0	669514448.0
744549057.0	744549057.0
1907387872.0	1907387872.0
2661513593.0	2661513593.0
2938920456.0	2938920456.0
5781921548.0	5781921548.0
6812031362.0	6812031362.0
25012692437.0	25012692437.0
